Rank,Page Path,Post Title,Full URL,Score,Pageviews (90d),Sessions,GSC Clicks,GSC Impressions,Avg Position,CTR,Avg Duration (sec),Last Modified,Days Since Update,Focus Keyword,Keyword Score,Readability,Is Cornerstone,Alerts
1,/how-to-enable-disable-wayland-on-ubuntu-22-04-desktop,How to enable/disable wayland on Ubuntu Desktop,https://linuxconfig.org/how-to-enable-disable-wayland-on-ubuntu-22-04-desktop/,19577.66,29086,23408,4538,186262,6.2,0.0244,220.1,2024-04-18 17:00:37,585,enable Wayland on Ubuntu,71,90,No,Not updated in 585 days
2,/how-to-install-google-chrome-browser-on-linux,Google Chrome for Linux: Download and Installation,https://linuxconfig.org/how-to-install-google-chrome-browser-on-linux/,19055.72,19416,17775,12638,392062,7.8,0.0322,115.5,2025-10-27 10:45:50,28,Chrome on Linux,87,90,No,
3,/ubuntu-22-04-download,Ubuntu 22.04 Download,https://linuxconfig.org/ubuntu-22-04-download/,17675.79,15956,16998,9281,508267,7.3,0.0183,195.9,2025-10-19 08:38:51,36,ubuntu 26.04 download,71,90,No,
4,/ubuntu-24-04-download,Ubuntu 24.04 download - All Official Flavors,https://linuxconfig.org/ubuntu-24-04-download/,16595.47,13941,15003,5237,642514,7.8,0.0082,184.4,2025-09-23 20:33:18,62,Ubuntu 24.04 download,92,90,No,
5,/setting-a-static-ip-address-in-ubuntu-24-04-via-the-command-line,Setting a Static IP Address in Ubuntu 24.04 via the Command Line,https://linuxconfig.org/setting-a-static-ip-address-in-ubuntu-24-04-via-the-command-line/,15514.38,16303,19111,11579,166182,6.5,0.0697,225.9,2025-10-25 09:58:15,30,set static IP address Ubuntu,77,60,No,
6,/how-to-install-nvidia-drivers-on-ubuntu-24-04,How to Install NVIDIA Drivers on Ubuntu 24.04,https://linuxconfig.org/how-to-install-nvidia-drivers-on-ubuntu-24-04/,14792.80,15921,15431,8953,261783,6.6,0.0342,216.8,2025-10-18 09:57:33,37,install NVIDIA drivers Ubuntu,82,30,No,Low readability score: 30
7,/how-to-configure-static-ip-address-on-ubuntu-18-04-bionic-beaver-linux,Netplan static IP on Ubuntu configuration,https://linuxconfig.org/how-to-configure-static-ip-address-on-ubuntu-18-04-bionic-beaver-linux/,13707.01,13451,15848,11509,166799,6.4,0.0690,200.3,2024-04-30 16:24:44,573,netplan static IP configuration Ubuntu,80,30,No,Not updated in 573 days; Low readability score: 30
8,/howto-mount-usb-drive-in-linux,How to mount USB drive in Linux,https://linuxconfig.org/howto-mount-usb-drive-in-linux/,12707.74,12198,13897,8440,248024,6.3,0.0340,170.7,2025-09-22 09:46:41,63,mount USB drive Linux,75,30,No,Low readability score: 30
9,/how-to-install-tar-gz-file-on-linux,How to install tar.gz file in Linux,https://linuxconfig.org/how-to-install-tar-gz-file-on-linux/,10388.51,10329,10598,6841,205309,6.8,0.0333,157.9,2025-10-30 11:18:40,25,How to install tar.gz file in Linux,88,30,No,Low readability score: 30
10,/how-to-install-adobe-acrobat-reader-on-ubuntu-20-04-focal-fossa-linux,How to Install Adobe Acrobat Reader on Ubuntu and Debian Linux,https://linuxconfig.org/how-to-install-adobe-acrobat-reader-on-ubuntu-20-04-focal-fossa-linux/,9429.18,9697,9671,8102,115974,7.4,0.0699,172.5,2025-09-22 06:25:35,63,install Adobe Acrobat Reader Linux,83,60,No,
11,/how-to-use-curl-to-get-public-ip-address,curl my ip : How to use curl to get public IP address,https://linuxconfig.org/how-to-use-curl-to-get-public-ip-address/,9101.44,8965,10918,6883,125094,8.4,0.0550,139.0,2025-09-22 11:02:53,63,curl my ip,92,90,No,
12,/how-to-turn-on-off-ip-forwarding-in-linux,IP Forwarding Linux: How to Enable/Disable net.ipv4.ip_forward,https://linuxconfig.org/how-to-turn-on-off-ip-forwarding-in-linux/,8890.98,8638,10309,7374,110316,4.1,0.0668,159.0,2025-10-28 14:22:42,27,IP Forwarding Linux,91,90,No,
13,/quick-guide-to-enabling-ssh-on-ubuntu-24-04,Quick Guide to Enabling SSH on Ubuntu 24.04,https://linuxconfig.org/quick-guide-to-enabling-ssh-on-ubuntu-24-04/,8429.49,8793,10137,5849,111666,8.6,0.0524,189.4,2025-09-22 12:10:31,63,enable SSH Ubuntu,0,30,No,Low readability score: 30
14,/change-ip-address-on-ubuntu-server,Change IP address on Ubuntu Server,https://linuxconfig.org/change-ip-address-on-ubuntu-server/,7876.68,7848,9088,6274,100914,7.1,0.0622,173.7,2025-10-30 11:43:48,25,ubuntu server change ip,89,60,No,
15,/how-to-upgrade-debian-to-latest-version,How to Upgrade Debian 12 Bookworm to Debian 13 Trixie,https://linuxconfig.org/how-to-upgrade-debian-to-latest-version/,7497.41,9065,10275,2364,108503,7.8,0.0218,262.1,2025-07-26 21:43:31,121,upgrade debian 12 to debian 13,86,90,No,
16,/how-to-install-ubuntu-alongside-windows-11-dual-boot,How to install Ubuntu alongside Windows 11 (Dual Boot),https://linuxconfig.org/how-to-install-ubuntu-alongside-windows-11-dual-boot/,7397.63,9243,9527,2623,98622,7.8,0.0266,182.5,2025-09-22 06:44:53,63,install Ubuntu alongside Windows 11,0,30,No,Low readability score: 30
17,/how-to-find-my-ip-address-on-ubuntu-20-04-focal-fossa-linux,How to find my IP address on Ubuntu Linux,https://linuxconfig.org/how-to-find-my-ip-address-on-ubuntu-20-04-focal-fossa-linux/,6960.32,5052,5709,4548,241245,7.9,0.0189,142.7,2024-04-09 19:11:52,594,find IP address Ubuntu,72,30,No,Not updated in 594 days; Low readability score: 30
18,/how-to-install-the-nvidia-drivers-on-ubuntu-22-04,How to install the NVIDIA drivers on Ubuntu 22.04,https://linuxconfig.org/how-to-install-the-nvidia-drivers-on-ubuntu-22-04/,6829.95,7192,6897,3729,143352,7.8,0.0260,200.1,2025-09-22 07:33:17,63,install NVIDIA drivers Ubuntu,0,60,No,
19,/how-to-make-a-bootable-usb-from-an-iso-in-linux,How to make a bootable USB from an ISO in Linux,https://linuxconfig.org/how-to-make-a-bootable-usb-from-an-iso-in-linux/,6828.69,7703,7677,2999,131239,10.7,0.0229,203.5,2025-09-22 06:20:50,63,create bootable USB from ISO Linux,0,60,No,
